,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,2715,38,2695,20,37,0,2409,269,196934.5,1378.63,136.69,18.79
02,02 - Saguenay-Lac-Saint-Jean,10085,37,9875,210,266,0,9609,210,277505,3634.17,75.71,95.85
03,03 - Capitale-Nationale,30469,139,30119,350,1066,2,27529,1874,757803,4020.70,246.53,140.67
04,04 - Mauricie et Centre-du-Québec,13979,21,13744,235,510,1,13171,298,523331.5,2671.16,56.84,97.45
05,05 - Estrie,12961,37,12462,499,330,0,12212,419,494966.5,2618.56,84.34,66.67
06,06 - Montréal,123758,291,120847,2911,4668,1,116040,3050,2072060.5,5972.70,146.74,225.28
07,07 - Outaouais,10887,96,10441,446,191,2,9888,808,402744,2703.21,199.77,47.42
08,08 - Abitibi-Témiscamingue,1094,1,1061,33,9,0,1056,29,147637,741.01,19.64,6.10
09,09 - Côte-Nord,480,11,462,18,3,0,413,64,89700.5,535.11,71.61,3.34
10,10 - Nord-du-Québec,90,0,88,2,0,0,90,0,13521.5,665.61,0.00,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,1817,1,1798,19,45,0,1751,21,89823,2022.87,23.42,50.10
12,12 - Chaudière-Appalaches,16094,146,15817,277,312,2,14477,1305,431109.5,3733.16,302.15,72.37
13,13 - Laval,29224,71,27492,1732,896,-2,27704,624,444658.5,6572.23,139.73,201.50
14,14 - Lanaudière,22758,34,22048,710,508,1,21860,390,522367,4356.71,74.34,97.25
15,15 - Laurentides,19417,40,18812,605,496,1,18379,542,630238,3080.90,85.56,78.70
16,16 - Montérégie,47453,139,45527,1926,1529,1,44591,1333,1438226,3299.41,92.33,106.31
17,17 - Nunavik,46,0,44,2,0,0,46,0,14336.5,320.86,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21
98,Inconnu,3,0,3,0,0,0,3,0,.,.,.,.
99,Hors Québec,345,4,340,5,0,0,323,22,.,.,.,.
999,Ensemble du Québec,343794,1106,333794,10000,10869,9,321667,11258,8565469.5,4013.72,131.03,126.89

