"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;68378
02 - Saguenay - Lac-Saint-Jean;92837
03 - Capitale-Nationale;250097
04 - Mauricie et Centre-du-Québec;164022
05 - Estrie;148187
06 - Montréal;727163
07 - Outaouais;121666
08 - Abitibi-Témiscamingue;41707
09 - Côte-Nord;40610
10 - Nord-du-Québec;9957
11 - Gaspésie - Îles-de-la-Madeleine;43538
12 - Chaudière-Appalaches;140396
13 - Laval;132113
14 - Lanaudière;156753
15 - Laurentides;184049
16 - Montérégie;413608
17 - Nunavik;7944
18 - Terres-Cries-de-la-Baie-James;17825
Inconnue;2685
Total;2763535
