RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours)
01 - Bas-Saint-Laurent,67,0,0,0,67,786,399.40,99.2
02 - Saguenay–Lac-Saint-Jean,0,0,1,0,1,255,91.93,63.3
03 - Capitale-Nationale,231,2,0,6,239,6097,802.08,98.4
04 - Mauricie et Centre-du-Québec,11,0,0,0,11,549,104.71,81.7
05 - Estrie,49,0,1,0,50,621,125.01,73.7
06 - Montréal,1949,22,14,9,1994,7441,358.00,72.4
07 - Outaouais,224,2,1,5,232,2498,617.62,87.6
08 - Abitibi-Témiscamingue,0,141,0,0,141,227,153.73,33.3
09 - Côte-Nord,0,0,0,0,0,50,55.95,90.5
10 - Nord-du-Québec,0,0,0,0,0,0,0.00,.
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,46,51.31,100
12 - Chaudière-Appalaches,127,0,0,0,127,1287,297.98,91.7
13 - Laval,213,3,0,5,221,1752,392.32,77.3
14 - Lanaudière,146,5,1,6,158,840,160.11,67.9
15 - Laurentides,185,6,3,1,195,1297,204.73,83.2
16 - Montérégie,115,3,3,0,121,1908,132.16,73.6
Inconnu,0,1,0,0,1,886,,72.3
Hors Québec,14,1,0,1,16,45,,100
Ensemble du Québec,3331,186,24,33,3574,26585,309.42,80.9
