"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;17461
02 - Saguenay - Lac-Saint-Jean;27266
03 - Capitale-Nationale;78452
04 - Mauricie et Centre-du-Québec;54181
05 - Estrie;41353
06 - Montréal;348173
07 - Outaouais;28991
08 - Abitibi-Témiscamingue;16808
09 - Côte-Nord;22446
10 - Nord-du-Québec;8806
11 - Gaspésie - Îles-de-la-Madeleine;15979
12 - Chaudière-Appalaches;42085
13 - Laval;54128
14 - Lanaudière;51309
15 - Laurentides;57525
16 - Montérégie;139437
17 - Nunavik;5225
18 - Terres-Cries-de-la-Baie-James;10526
Inconnue;4562
Total;1024713
