,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1690,11,1672,18,30,0,1592,68,196934.5,858.15,34.55,15.23
02,02 - Saguenay-Lac-Saint-Jean,9238,25,9041,197,265,0,8707,266,277505,3328.95,95.90,95.49
03,03 - Capitale-Nationale,23324,69,22984,340,1009,0,21868,447,757803,3077.84,58.80,133.15
04,04 - Mauricie et Centre-du-Québec,13090,16,12857,233,508,0,12466,116,523331.5,2501.28,22.12,97.07
05,05 - Estrie,11880,12,11412,468,319,0,11448,113,494966.5,2400.16,22.75,64.45
06,06 - Montréal,113574,307,110685,2889,4603,5,105787,3184,2072060.5,5481.21,153.19,222.15
07,07 - Outaouais,7031,64,6606,425,171,0,6536,324,402744,1745.77,80.11,42.46
08,08 - Abitibi-Témiscamingue,923,9,890,33,8,1,881,34,147637,625.18,23.03,5.42
09,09 - Côte-Nord,359,-1,344,15,3,0,352,4,89700.5,400.22,4.48,3.34
10,10 - Nord-du-Québec,88,0,86,2,0,0,88,0,13521.5,650.82,0.00,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,1747,1,1728,19,45,0,1697,5,89823,1944.94,5.58,50.10
12,12 - Chaudière-Appalaches,12011,25,11743,268,288,0,11563,160,431109.5,2786.07,37.04,66.80
13,13 - Laval,26588,75,24978,1610,884,2,25010,694,444658.5,5979.42,155.41,198.80
14,14 - Lanaudière,21451,27,20740,711,500,0,20544,407,522367,4106.50,77.58,95.72
15,15 - Laurentides,17520,33,16917,603,481,0,16723,316,630238,2779.90,49.88,76.32
16,16 - Montérégie,43534,110,41672,1862,1509,0,41254,771,1438226,3026.92,53.40,104.92
17,17 - Nunavik,46,0,44,2,0,0,46,0,14336.5,320.86,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,115,1,18507,643.00,5.37,16.21
98,Inconnu,4,0,4,0,0,0,4,0,.,.,.,.
99,Hors Québec,273,0,268,5,0,0,265,8,.,.,.,.
999,Ensemble du Québec,304490,783,294790,9700,10626,8,286946,6918,8565469.5,3554.85,80.52,124.06

