,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,20157,38,20118,39,167,2,19278,712,197738.33333,10193.77,360.21,84.46,78,813,6
02,02 - Saguenay-Lac-Saint-Jean,29707,63,29346,361,428,2,28489,790,278600,10662.96,283.56,153.63,98,1548,4
03,03 - Capitale-Nationale,86993,108,86632,361,1523,1,83583,1887,761103.66667,11429.85,246.16,200.10,206,4116,7
04,04 - Mauricie et Centre-du-Québec,57933,62,57693,240,990,2,55443,1500,527666.66667,10979.09,282.87,187.62,190,3071,14
05,05 - Estrie,48691,86,48167,524,592,0,46700,1399,502406,9691.56,275.41,117.83,145,2611,10
06,06 - Montréal,305110,265,301750,3360,5440,1,295597,4073,2061667.3333,14799.19,196.62,263.86,426,15725,30
07,07 - Outaouais,39230,46,38783,447,310,0,38328,592,405378.66667,9677.37,144.48,76.47,77,1762,4
08,08 - Abitibi-Témiscamingue,10614,14,10573,41,110,0,10310,194,147876.33333,7177.62,131.13,74.39,36,604,0
09,09 - Côte-Nord,8165,33,8139,26,45,0,7774,346,90082.333333,9063.93,385.87,49.95,37,462,7
10,10 - Nord-du-Québec,1426,6,1206,220,4,0,1397,25,13383.666667,10654.78,187.91,29.89,7,50,0
11,11 - Gaspésie-Îles-de-la-Madeleine,8819,7,8781,38,80,0,8497,242,90783.333333,9714.34,266.24,88.12,30,412,0
12,12 - Chaudière-Appalaches,60471,66,60188,283,626,5,58846,999,434525.66667,13916.55,228.83,144.07,119,2455,4
13,13 - Laval,70695,44,68734,1961,1099,1,68879,717,445993.33333,15851.13,159.29,246.42,87,3156,2
14,14 - Lanaudière,68884,90,68168,716,753,0,67147,984,530581,12982.75,183.24,141.92,111,2716,4
15,15 - Laurentides,78040,127,77434,606,744,-1,75830,1466,640046.66667,12192.86,225.98,116.24,213,3536,13
16,16 - Montérégie,146450,183,144538,1912,2168,9,141452,2830,1452381.3333,10083.44,192.94,149.27,312,7777,18
17,17 - Nunavik,2974,1,2968,6,10,0,2931,33,14619,20343.39,221.91,68.40,6,103,1
18,18 - Terres-Cries-de-la-Baie-James,2886,2,2492,394,15,0,2794,77,18660.333333,15465.96,405.88,80.38,23,93,0
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,376,2
99,Hors Québec,2876,2,2868,8,2,0,2844,30,.,.,.,.,8,0,0
999,Ensemble du Québec,1050121,1243,1038578,11543,15106,22,1016119,18896,8613493.6667,12191.58,217.77,175.38,2209,51386,126

