Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;6;77;70,1;9860;8976,5;0;;0;
5-9 ans;< 5;57;53;15092;14028,6;0;;0;
10-19 ans;8;121;60,8;30747;15457,4;0;;0;
20-29 ans;26;548;168,3;59611;18309,2;0;;5;n.p.
30-39 ans;45;739;225,2;54080;16477,1;0;;12;* 3,7
40-49 ans;35;715;257,6;46723;16831,4;0;;34;* 12,2
50-59 ans;36;608;237;35735;13931,8;0;;146;56,9
60-69 ans;29;466;215,4;20757;9594,9;< 5;n.p.;397;183,5
70-79 ans;27;433;299,6;12645;8750,4;< 5;n.p.;964;667,1
80 ans et +;50;622;618,3;19643;19527,6;21;* 20,9;3882;3859,2
Manquant;0;< 5;;217;;0;;0;
Total;265;4390;212,5;305110;14770,6;27;* 1,3;5440;263,4
