,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,20488,13,20449,39,170,0,19948,370,197738.33333,10361.17,187.19,85.97,34,833,5
02,02 - Saguenay-Lac-Saint-Jean,30083,35,29722,361,437,1,29211,435,278600,10797.92,156.14,156.86,27,1591,3
03,03 - Capitale-Nationale,87800,56,87439,361,1541,0,85167,1092,761103.66667,11535.88,142.45,202.47,77,4209,7
04,04 - Mauricie et Centre-du-Québec,58521,34,58281,240,999,1,56748,774,527666.66667,11090.52,145.96,189.32,60,3146,13
05,05 - Estrie,49285,42,48761,524,619,1,47812,854,502406,9809.80,168.12,123.21,89,2721,8
06,06 - Montréal,307135,166,303774,3361,5470,1,298970,2695,2061667.3333,14897.41,130.10,265.32,179,15987,32
07,07 - Outaouais,39512,21,39067,445,314,2,38852,346,405378.66667,9746.94,84.44,77.46,31,1814,2
08,08 - Abitibi-Témiscamingue,10803,17,10762,41,110,0,10575,118,147876.33333,7305.43,79.76,74.39,20,619,1
09,09 - Côte-Nord,8423,32,8397,26,46,0,8115,262,90082.333333,9350.34,292.19,51.06,21,485,1
10,10 - Nord-du-Québec,1475,3,1246,229,4,0,1459,12,13383.666667,11020.90,90.20,29.89,2,52,0
11,11 - Gaspésie-Îles-de-la-Madeleine,8936,6,8899,37,82,0,8722,132,90783.333333,9843.22,145.22,90.32,13,427,1
12,12 - Chaudière-Appalaches,60898,36,60615,283,659,2,59717,522,434525.66667,14014.82,119.57,151.66,37,2510,4
13,13 - Laval,71107,39,69146,1961,1103,0,69586,418,445993.33333,15943.51,92.86,247.31,31,3212,5
14,14 - Lanaudière,69386,40,68670,716,767,0,68081,538,530581,13077.36,100.18,144.56,43,2778,6
15,15 - Laurentides,78780,62,78174,606,755,1,77084,941,640046.66667,12308.48,145.06,117.96,79,3672,9
16,16 - Montérégie,147947,119,146034,1913,2208,4,144005,1734,1452381.3333,10186.51,118.22,152.03,121,7971,12
17,17 - Nunavik,3002,2,2996,6,10,0,2970,22,14619,20534.92,147.94,68.40,2,111,0
18,18 - Terres-Cries-de-la-Baie-James,2930,2,2532,398,16,1,2874,40,18660.333333,15701.76,210.85,85.74,0,95,0
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,374,2
99,Hors Québec,2908,3,2900,8,2,0,2885,21,.,.,.,.,4,0,0
999,Ensemble du Québec,1059419,728,1047864,11555,15312,14,1032781,11326,8613493.6667,12299.53,130.53,177.77,870,52607,111

