Régions sociosanitaires;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;29;48;50;58;59;42;3 045
02 - Saguenay – Lac-Saint-Jean;22;30;20;29;16;28;10 260
03 - Capitale-Nationale;110;111;116;117;109;123;31 247
04 - Mauricie-et-Centre-du-Québec;31;27;31;21;58;35;14 224
05 - Estrie;32;27;57;61;50;62;13 298
06 - Montréal;223;195;294;273;297;308;125 604
07 - Outaouais;50;57;92;55;43;70;11 337
08 - Abitibi-Témiscamingue;2;1;0;0;0;0;1 098
09 - Côte-Nord;6;15;2;4;2;6;521
10 - Nord-du-Québec;0;0;2;1;0;1;94
11 - Gaspésie – Îles-de-la-Madeleine;0;4;2;5;0;5;1 838
12 - Chaudière-Appalaches;82;109;128;109;117;104;16 838
13 - Laval;96;76;67;85;70;86;29 772
14 - Lanaudière;43;42;40;53;37;46;23 078
15 - Laurentides;36;51;55;58;54;41;19 768
16 - Montérégie;124;101;140;112;129;135;48 322
17 - Nunavik;0;0;0;0;0;1;47
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;0;0;119
Hors Québec;3;5;-2;1;0;8;361
Région à déterminer;0;0;0;0;0;0;3
Total;889;899;1 094;1 042;1 041;1 101;350 874
