RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours)
01 - Bas-Saint-Laurent,72,0,0,0,72,963,489.34,"98,6"
02 - Saguenay–Lac-Saint-Jean,1,0,1,0,2,356,128.34,"71,7"
03 - Capitale-Nationale,248,2,1,6,257,6761,889.43,"94,4"
04 - Mauricie et Centre-du-Québec,36,0,0,0,36,761,145.14,"94,6"
05 - Estrie,73,0,1,0,74,923,185.80,"88,7"
06 - Montréal,2092,22,15,11,2140,8618,414.63,"75,7"
07 - Outaouais,269,3,2,5,279,2806,693.77,"92,7"
08 - Abitibi-Témiscamingue,0,143,0,0,143,232,157.12,"80,0"
09 - Côte-Nord,0,0,0,0,0,71,79.45,"94,1"
10 - Nord-du-Québec,0,0,0,0,0,0,0.00,.
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,55,61.35,"100,0"
12 - Chaudière-Appalaches,131,0,0,0,131,1908,441.76,"92,5"
13 - Laval,239,3,0,5,247,2059,461.07,"73,6"
14 - Lanaudière,181,5,1,6,193,1049,199.95,"76,2"
15 - Laurentides,232,6,5,1,244,1586,250.35,"81,7"
16 - Montérégie,120,3,4,0,127,2450,169.70,"78,1"
Inconnu,0,1,0,0,1,867,,"84,8"
Hors Québec,15,1,0,1,17,53,,"66,7"
Ensemble du Québec,3709,189,30,35,3963,31518,366.84,"83,2"
