"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;77776
02 - Saguenay - Lac-Saint-Jean;111119
03 - Capitale-Nationale;294386
04 - Mauricie et Centre-du-Québec;198486
05 - Estrie;175375
06 - Montréal;797028
07 - Outaouais;147629
08 - Abitibi-Témiscamingue;47703
09 - Côte-Nord;44284
10 - Nord-du-Québec;10117
11 - Gaspésie - Îles-de-la-Madeleine;48944
12 - Chaudière-Appalaches;166393
13 - Laval;147424
14 - Lanaudière;176206
15 - Laurentides;217135
16 - Montérégie;476857
17 - Nunavik;9404
18 - Terres-Cries-de-la-Baie-James;18119
Inconnue;3274
Total;3167659
