,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,3045,42,3025,20,37,0,2622,386,196934.5,1546.20,196.14,18.79
02,02 - Saguenay-Lac-Saint-Jean,10260,28,10049,211,266,0,9795,199,277505,3697.23,71.74,95.85
03,03 - Capitale-Nationale,31247,123,30897,350,1083,2,28981,1183,757803,4123.37,155.63,142.91
04,04 - Mauricie et Centre-du-Québec,14224,35,13987,237,509,0,13423,292,523331.5,2717.97,55.69,97.26
05,05 - Estrie,13298,62,12788,510,333,0,12529,436,494966.5,2686.65,87.77,67.28
06,06 - Montréal,125604,308,122690,2914,4680,1,118152,2772,2072060.5,6061.79,133.37,225.86
07,07 - Outaouais,11337,70,10889,448,197,0,10586,554,402744,2814.94,136.97,48.91
08,08 - Abitibi-Témiscamingue,1098,0,1065,33,9,0,1080,9,147637,743.72,6.10,6.10
09,09 - Côte-Nord,521,6,502,19,3,0,455,63,89700.5,580.82,70.50,3.34
10,10 - Nord-du-Québec,94,1,92,2,0,0,90,4,13521.5,695.19,29.66,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,1838,5,1819,19,45,0,1772,21,89823,2046.25,23.42,50.10
12,12 - Chaudière-Appalaches,16838,104,16561,277,324,2,15543,971,431109.5,3905.74,224.82,75.15
13,13 - Laval,29772,86,28018,1754,901,1,28262,609,444658.5,6695.48,136.37,202.63
14,14 - Lanaudière,23078,46,22368,710,510,1,22157,411,522367,4417.97,78.34,97.63
15,15 - Laurentides,19768,41,19163,605,497,0,18816,455,630238,3136.59,71.82,78.86
16,16 - Montérégie,48322,135,46383,1939,1536,0,45592,1194,1438226,3359.83,82.70,106.80
17,17 - Nunavik,47,1,45,2,0,0,46,1,14336.5,327.83,6.94,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21
98,Inconnu,3,0,3,0,0,0,3,0,.,.,.,.
99,Hors Québec,361,8,356,5,0,0,342,19,.,.,.,.
999,Ensemble du Québec,350874,1101,340819,10055,10933,7,330362,9579,8565469.5,4096.38,111.49,127.64

