,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1013,19,1000,13,23,1,766,224,197074,514.02,113.66,11.67
02,02 - Saguenay–Lac-Saint-Jean,5835,84,5675,160,147,3,4930,758,277632,2101.70,273.02,52.95
03,03 - Capitale-Nationale,12986,160,12728,258,480,3,10674,1832,755459,1718.95,242.50,63.54
04,04 - Mauricie et Centre-du-Québec,7522,50,7315,207,276,0,6277,969,522341,1440.06,185.51,52.84
05,05 - Estrie,5414,102,5092,322,75,2,4373,966,493163,1097.81,195.88,15.21
06,06 - Montréal,54290,472,51525,2765,3673,3,46377,4240,2065657,2628.22,205.26,177.81
07,07 - Outaouais,3751,28,3468,283,86,1,3387,278,401032,935.34,69.32,21.44
08,08 - Abitibi-Témiscamingue,289,1,257,32,4,0,264,21,147616,195.78,14.23,2.71
09,09 - Côte-Nord,213,0,200,13,2,0,204,7,90033,236.58,7.77,2.22
10,10 - Nord-du-Québec,55,1,53,2,0,0,53,2,13558,405.66,14.75,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1420,11,1401,19,41,1,1317,62,89998,1577.81,68.89,45.56
12,12 - Chaudière-Appalaches,5946,48,5705,241,146,2,5158,642,430309,1381.80,149.20,33.93
13,13 - Laval,12332,148,11105,1227,729,0,10565,1038,442745,2785.35,234.45,164.65
14,14 - Lanaudière,12120,160,11418,702,347,4,10559,1214,520092,2330.36,233.42,66.72
15,15 - Laurentides,8361,74,7765,596,340,0,7551,470,626968,1333.56,74.96,54.23
16,16 - Montérégie,21456,220,20180,1276,907,2,18686,1863,1432751,1497.54,130.03,63.30
17,17 - Nunavik,28,-1,26,2,0,0,28,0,14260,196.35,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,16,0,16,0,1,0,15,0,18385,87.03,0.00,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,126,0,124,2,0,0,110,16,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,153176,1577,145056,8120,7277,22,131297,14602,8539073,1793.82,171.00,85.22
