No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,6,4,4,6,0,23,0.3 %
2,02 - Saguenay–Lac-Saint-Jean,1,50,49,1,40,6,147,2.0 %
3,03 - Capitale-Nationale,3,267,85,4,112,9,480,6.6 %
4,04 - Mauricie et Centre-du-Québec,6,124,63,18,60,5,276,3.8 %
5,05 - Estrie,1,22,16,1,30,5,75,1.0 %
6,06 - Montréal,192,2501,378,105,450,47,3673,50.5 %
7,07 - Outaouais,6,21,17,11,27,4,86,1.2 %
8,08 - Abitibi-Témiscamingue,0,0,3,0,1,0,4,0.1 %
9,09 - Côte-Nord,0,0,2,0,0,0,2,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,14,14,0,13,0,41,0.6 %
12,12 - Chaudière-Appalaches,5,49,36,6,46,4,146,2.0 %
13,13 - Laval,2,472,66,43,140,6,729,10.0 %
14,14 - Lanaudière,3,197,63,6,76,2,347,4.8 %
15,15 - Laurentides,59,120,58,30,61,12,340,4.7 %
16,16 - Montérégie,13,419,162,40,260,13,907,12.5 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,1,1,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),294,4262,1016,269,1322,114,7277,
9999,Ensemble du Québec (%),4.0 %,58.6 %,14.0 %,3.7 %,18.2 %,1.6 %,           .,100.0 %
