RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,169,0,0,0,169,1251,635.69,.,.
02 - Saguenay–Lac-Saint-Jean,85,0,2,0,87,1015,365.93,100,100
03 - Capitale-Nationale,624,3,10,0,637,8025,"1,055.72",100,85.7
04 - Mauricie et Centre-du-Québec,103,0,0,3,106,1405,267.97,100,60
05 - Estrie,93,0,16,1,110,2436,490.37,90,77.8
06 - Montréal,3232,125,214,21,3592,14457,695.56,87.8,90.9
07 - Outaouais,481,16,34,0,531,3877,958.57,97.4,100
08 - Abitibi-Témiscamingue,0,177,0,0,177,272,184.21,100,100
09 - Côte-Nord,10,0,0,0,10,150,167.85,.,.
10 - Nord-du-Québec,0,1,0,0,1,16,118.65,.,.
11 - Gaspésie–Îles-de-la-Madeleine,8,0,0,0,8,191,213.06,.,.
12 - Chaudière-Appalaches,499,2,11,0,512,3518,814.52,100,74.2
13 - Laval,417,13,18,1,449,3284,735.38,97.3,90.3
14 - Lanaudière,286,32,11,0,329,1782,339.66,90.2,70.3
15 - Laurentides,453,16,47,0,516,2575,406.47,91.1,80.5
16 - Montérégie,328,17,129,7,481,4446,307.96,90.2,90.5
Inconnu,0,1,0,0,1,722,,100,100
Hors Québec,47,9,3,2,61,104,,100,100
Ensemble du Québec,6835,412,495,35,7777,49526,576.43,91.9,"87,2"
