Régions sociosanitaires;2021-06-20;2021-06-21;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;0;2;3 949
02 - Saguenay – Lac-Saint-Jean;0;2;11 006
03 - Capitale-Nationale;2;0;32 745
04 - Mauricie-et-Centre-du-Québec;1;5;15 172
05 - Estrie;1;1;14 875
06 - Montréal;36;25;132 417
07 - Outaouais;6;3;12 439
08 - Abitibi-Témiscamingue;0;0;1 145
09 - Côte-Nord;0;1;574
10 - Nord-du-Québec;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;0;1;2 057
12 - Chaudière-Appalaches;2;6;19 252
13 - Laval;13;16;31 521
14 - Lanaudière;12;7;23 988
15 - Laurentides;6;2;20 957
16 - Montérégie;10;13;51 258
17 - Nunavik;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;119
Hors Québec;1;0;461
Région à déterminer;0;0;4
Total;90;84;374 095
