,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,3949,2,3923,26,51,0,3886,12,196934.5,2005.24,6.10,25.90
02,02 - Saguenay-Lac-Saint-Jean,11006,2,10785,221,270,0,10724,12,277505,3966.05,4.33,97.30
03,03 - Capitale-Nationale,32745,0,32393,352,1115,0,31592,38,757803,4321.04,5.00,147.14
04,04 - Mauricie et Centre-du-Québec,15172,5,14933,239,525,0,14624,23,523331.5,2899.12,4.39,100.32
05,05 - Estrie,14875,1,14357,518,351,0,14477,47,494966.5,3005.25,9.46,70.91
06,06 - Montréal,132417,25,129496,2921,4763,2,127159,495,2072060.5,6390.60,23.82,229.87
07,07 - Outaouais,12439,3,11992,447,214,0,12160,65,402744,3088.56,16.07,53.14
08,08 - Abitibi-Témiscamingue,1145,0,1112,33,9,0,1128,8,147637,775.55,5.42,6.10
09,09 - Côte-Nord,574,1,555,19,4,0,569,1,89700.5,639.91,1.12,4.46
10,10 - Nord-du-Québec,109,0,107,2,0,0,109,0,13521.5,806.12,0.00,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,2057,1,2037,20,46,1,2002,9,89823,2290.06,10.04,51.21
12,12 - Chaudière-Appalaches,19252,6,18971,281,357,0,18836,59,431109.5,4465.69,13.66,82.81
13,13 - Laval,31521,16,29707,1814,912,0,30484,125,444658.5,7088.81,27.99,205.10
14,14 - Lanaudière,23988,7,23277,711,516,0,23375,97,522367,4592.17,18.49,98.78
15,15 - Laurentides,20957,2,20353,604,506,0,20396,55,630238,3325.25,8.68,80.29
16,16 - Montérégie,51258,13,49305,1953,1553,1,49532,173,1438226,3563.97,11.98,107.98
17,17 - Nunavik,47,0,45,2,0,0,47,0,14336.5,327.83,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.
99,Hors Québec,461,0,456,5,0,0,455,6,.,.,.,.
999,Ensemble du Québec,374095,84,363926,10169,11195,4,361675,1225,8565469.5,4367.48,14.26,130.70

