RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,Autres variants,TOTAL CONFIRMÉS,Présomptifs reçus,TOTAL PRÉSOMPTIFS moins confirmés
01 - Bas-Saint-Laurent,,,,,0,0,0
02 - Saguenay–Lac-Saint-Jean,,,,,0,2,2
03 - Capitale-Nationale,3,,,,3,154,151
04 - Mauricie et Centre-du-Québec,,,,,0,7,7
05 - Estrie,5,,,,5,32,27
06 - Montréal,192,,1,2,195,1007,812
07 - Outaouais,,,,,0,53,53
08 - Abitibi-Témiscamingue,,95,,,95,151,56
09 - Côte-Nord,,,,,0,1,1
10 - Nord-du-Québec,,,,,0,0,0
11 - Gaspésie–Îles-de-la-Madeleine,,,,,0,0,0
12 - Chaudière-Appalaches,,,,,0,15,15
13 - Laval,17,,,,17,205,188
14 - Lanaudière,6,1,,,7,73,66
15 - Laurentides,13,1,,,14,174,160
16 - Montérégie,4,,,,4,75,71
Inconnu,,1,,,1,104,103
Hors Québec,,,,,0,0,0
Ensemble du Québec,240,98,1,2,341,2053,1712
