No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,8,6,4,9,0,30,0.3 %
02,02 - Saguenay-Lac-Saint-Jean,0,94,73,4,85,8,264,2.5 %
03,03 - Capitale-Nationale,3,501,150,25,294,24,997,9.5 %
04,04 - Mauricie et Centre-du-Québec,6,151,223,21,102,5,508,4.8 %
05,05 - Estrie,3,125,55,17,100,11,311,3.0 %
06,06 - Montréal,202,2721,762,133,666,74,4558,43.3 %
07,07 - Outaouais,8,70,33,13,41,2,167,1.6 %
08,08 - Abitibi-Témiscamingue,0,0,6,0,1,0,7,0.1 %
09,09 - Côte-Nord,0,0,3,0,0,0,3,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,17,0,13,0,45,0.4 %
12,12 - Chaudière-Appalaches,5,104,69,6,100,4,288,2.7 %
13,13 - Laval,2,509,131,52,177,5,876,8.3 %
14,14 - Lanaudière,3,249,116,12,113,2,495,4.7 %
15,15 - Laurentides,64,175,93,50,79,14,475,4.5 %
16,16 - Montérégie,15,610,346,59,454,8,1492,14.2 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,1,0,0,1,2,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),314,5332,2084,396,2234,158,10518,
9999,Ensemble du Québec (%),3.0 %,50.7 %,19.8 %,3.8 %,21.2 %,1.5 %,.,100.0 %

