"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;12118
02 - Saguenay - Lac-Saint-Jean;14237
03 - Capitale-Nationale;42461
04 - Mauricie et Centre-du-Québec;28709
05 - Estrie;22024
06 - Montréal;223746
07 - Outaouais;13495
08 - Abitibi-Témiscamingue;12623
09 - Côte-Nord;17541
10 - Nord-du-Québec;8420
11 - Gaspésie - Îles-de-la-Madeleine;10028
12 - Chaudière-Appalaches;23203
13 - Laval;35851
14 - Lanaudière;28642
15 - Laurentides;32243
16 - Montérégie;76812
17 - Nunavik;4876
18 - Terres-Cries-de-la-Baie-James;10398
Inconnue;1633
Total;619060
