No,RSS,CH,CHSLD,Domicile,RI,RPA,Autre,Dﾃｩcﾃｨs (n),Dﾃｩcﾃｨs (%)
1,01 - Bas-Saint-Laurent,1,, 1,,,,2,"0,0%"
2,02 - Saguenay窶鏑ac-Saint-Jean,,21,,,,5,26,"0,5%"
3,03 - Capitale-Nationale,2,149, 7,1,36,,195,"3,4%"
4,04 - Mauricie et Centre-du-Quﾃｩbec,4,124, 28,12,43,,211,"3,7%"
5,05 - Estrie,,1, 7,,15,3,26,"0,5%"
6,06 - Montrﾃｩal,184,2432, 294,83,435,34,3462,"60,5%"
7,07 - Outaouais,4,18, 3,7,1,,33,"0,6%"
8,08 - Abitibi-Tﾃｩmiscamingue,,, 3,,1,,4,"0,1%"
9,09 - Cﾃｴte-Nord,,,,,,,0,"0,0%"
10,10 - Nord-du-Quﾃｩbec,,,,,,,0,"0,0%"
11,11 - Gaspﾃｩsie窶禿四es-de-la-Madeleine,,2, 2,,5,,9,"0,2%"
12,12 - Chaudiﾃｨre-Appalaches,1,,,,7,,8,"0,1%"
13,13 - Laval,1,452, 55,41,121,5,675,"11,8%"
14,14 - Lanaudiﾃｨre,3,116, 41,5,48,,213,"3,7%"
15,15 - Laurentides,55,88, 38,16,48,7,252,"4,4%"
16,16 - Montﾃｩrﾃｩgie,9,259, 101,30,198,8,605,"10,6%"
17,17 - Nunavik,,,,,,,0,"0,0%"
18,18 - Terres-Cries-de-la-Baie-James,,,,,,,0,"0,0%"
99,Inconnu,,,,,,,0,"0,0%"
999,Ensemble du Quﾃｩbec,264,3662, 580,195,958,62,5721,
9999,,"4,6%","64,0%","10,1%","3,4%","16,8%","1,1%",,"100,0%"
