No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,11,43,5,15,0,77,0.6 %
02,02 - Saguenay-Lac-Saint-Jean,0,94,104,6,92,9,305,2.4 %
03,03 - Capitale-Nationale,5,542,265,33,351,28,1224,9.6 %
04,04 - Mauricie et Centre-du-Québec,5,155,406,22,110,5,703,5.5 %
05,05 - Estrie,3,136,171,19,130,12,471,3.7 %
06,06 - Montréal,208,2773,1157,142,728,73,5081,40.0 %
07,07 - Outaouais,11,85,77,14,54,4,245,1.9 %
08,08 - Abitibi-Témiscamingue,2,2,23,1,4,0,32,0.3 %
09,09 - Côte-Nord,0,0,5,0,1,0,6,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,21,0,13,0,49,0.4 %
12,12 - Chaudière-Appalaches,5,132,164,8,144,5,458,3.6 %
13,13 - Laval,3,519,211,53,192,7,985,7.8 %
14,14 - Lanaudière,3,284,186,16,130,4,623,4.9 %
15,15 - Laurentides,66,196,169,57,91,14,593,4.7 %
16,16 - Montérégie,16,647,594,63,504,10,1834,14.4 %
17,17 - Nunavik,0,0,6,0,0,0,6,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,4,0,0,1,5,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,1,0,0,0,1,0.0 %
999,Ensemble du Québec (n),330,5591,3607,439,2559,172,12698,
9999,Ensemble du Québec (%),2.6 %,44.0 %,28.4 %,3.5 %,20.2 %,1.4 %,.,100.0 %

