Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;3917
02 - Saguenay – Lac-Saint-Jean;6390
03 - Capitale-Nationale;19840
04 - Mauricie-et-Centre-du-Québec;10038
05 - Estrie;10266
06 - Montréal;43610
07 - Outaouais;7326
08 - Abitibi-Témiscamingue;3873
09 - Côte-Nord;3701
10 - Nord-du-Québec;678
11 - Gaspésie – Îles-de-la-Madeleine;4542
11 - Îles-de-la-Madeleine;1062
12 - Chaudière-Appalaches;9638
13 - Laval;7826
14 - Lanaudière;8001
15 - Laurentides;11104
16 - Montérégie;25932
18 - Terres-Cries-de-la-Baie-James;6738
Opitciwan;590
Wemotaci;351
Manawan;787
Total;186 210
