Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;6322
02 - Saguenay – Lac-Saint-Jean;9566
03 - Capitale-Nationale;29470
04 - Mauricie-et-Centre-du-Québec;14879
05 - Estrie;11985
06 - Montréal;78 750
07 - Outaouais;9798
08 - Abitibi-Témiscamingue;8324
09 - Côte-Nord;13140
10 - Nord-du-Québec;6820
11 - Gaspésie – Îles-de-la-Madeleine;7856
12 - Chaudière-Appalaches;11694
13 - Laval;10308
14 - Lanaudière;12403
15 - Laurentides;13565
16 - Montérégie;36335
17 - Nunavik;3146
18 - Terres-Cries-de-la-Baie-James;9545
Inconnu;980
Total;294 886
