Régions;Nombre de doses de vaccins administrés
01-   Bas-Saint-Laurent;3067
02 - Saguenay – Lac-Saint-Jean;5681
03 - Capitale-Nationale;17816
04 - Mauricie-et-Centre-du-Québec;6978
05 - Estrie;7094
06 - Montréal;37593
07 - Outaouais;4908
08 - Abitibi-Témiscamingue;2585
09 - Côte-Nord;2611
10 - Nord-du-Québec;106
11 - Gaspésie – Îles-de-la-Madeleine;3447
11 - Îles-de-la-Madeleine;391
12 - Chaudière-Appalaches;7982
13 - Laval;7231
14 - Lanaudière;6394
15 - Laurentides;8144
16 - Montérégie;22086
18 - Terres-Cries-de-la-Baie-James;1679
Opitciwan;580
Wemotaci;321
Total;146 694
