"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;67984
02 - Saguenay - Lac-Saint-Jean;89688
03 - Capitale-Nationale;241544
04 - Mauricie et Centre-du-Québec;157330
05 - Estrie;142867
06 - Montréal;712537
07 - Outaouais;117336
08 - Abitibi-Témiscamingue;39914
09 - Côte-Nord;39302
10 - Nord-du-Québec;9957
11 - Gaspésie - Îles-de-la-Madeleine;42481
12 - Chaudière-Appalaches;135672
13 - Laval;128276
14 - Lanaudière;153367
15 - Laurentides;174458
16 - Montérégie;399247
17 - Nunavik;7825
18 - Terres-Cries-de-la-Baie-James;17651
Inconnue;2471
Total;2679907
