RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours)
01 - Bas-Saint-Laurent,67,0,0,0,67,764,388.22,"97,7"
02 - Saguenay–Lac-Saint-Jean,0,0,1,0,1,237,85.44,"58,7"
03 - Capitale-Nationale,231,2,0,6,239,5977,786.30,"98,5"
04 - Mauricie et Centre-du-Québec,11,0,0,0,11,537,102.42,"81,4"
05 - Estrie,49,0,1,0,50,602,121.18,"72,2"
06 - Montréal,1949,22,14,9,1994,7157,344.34,"73,0"
07 - Outaouais,224,2,1,5,232,2394,591.91,"87,5"
08 - Abitibi-Témiscamingue,0,141,0,0,141,227,153.73,"38,1"
09 - Côte-Nord,0,0,0,0,0,48,53.71,"95,2"
10 - Nord-du-Québec,0,0,0,0,0,0,0.00,.
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,45,50.20,"100,0"
12 - Chaudière-Appalaches,127,0,0,0,127,1256,290.80,"99,1"
13 - Laval,213,3,0,5,221,1709,382.69,"79,2"
14 - Lanaudière,146,5,1,6,158,820,156.30,"69,7"
15 - Laurentides,185,6,3,1,195,1261,199.05,"82,3"
16 - Montérégie,115,3,3,0,121,1827,126.55,"74,9"
Inconnu,0,1,0,0,1,863,,"71,2"
Hors Québec,14,1,0,1,16,39,,"100,0"
Ensemble du Québec,3331,186,24,33,3574,25763,299.85,"81,6"
