,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,2677,27,2657,20,37,0,2391,249,196934.5,1359.34,126.53,18.79
02,02 - Saguenay-Lac-Saint-Jean,10048,19,9838,210,266,0,9571,211,277505,3620.84,76.07,95.85
03,03 - Capitale-Nationale,30330,152,29980,350,1064,7,27274,1992,757803,4002.36,262.05,140.41
04,04 - Mauricie et Centre-du-Québec,13958,30,13723,235,509,0,13125,324,523331.5,2667.14,61.79,97.26
05,05 - Estrie,12924,40,12426,498,330,0,12176,418,494966.5,2611.09,84.14,66.67
06,06 - Montréal,123467,258,120561,2906,4667,3,115725,3075,2072060.5,5958.66,147.95,225.23
07,07 - Outaouais,10791,54,10345,446,189,2,9757,845,402744,2679.37,208.92,46.93
08,08 - Abitibi-Témiscamingue,1093,1,1060,33,9,0,1054,30,147637,740.33,20.32,6.10
09,09 - Côte-Nord,469,9,451,18,3,0,409,57,89700.5,522.85,63.78,3.34
10,10 - Nord-du-Québec,90,0,88,2,0,0,90,0,13521.5,665.61,0.00,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,1816,2,1797,19,45,0,1748,23,89823,2021.75,25.66,50.10
12,12 - Chaudière-Appalaches,15948,142,15671,277,310,3,14297,1341,431109.5,3699.29,310.48,71.91
13,13 - Laval,29153,67,27432,1721,898,0,27609,646,444658.5,6556.27,144.66,201.95
14,14 - Lanaudière,22724,24,22014,710,507,0,21808,409,522367,4350.20,77.96,97.06
15,15 - Laurentides,19377,76,18772,605,495,0,18332,550,630238,3074.55,86.82,78.54
16,16 - Montérégie,47314,141,45390,1924,1528,0,44452,1334,1438226,3289.75,92.40,106.24
17,17 - Nunavik,46,0,44,2,0,0,46,0,14336.5,320.86,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21
98,Inconnu,3,-2,3,0,0,0,3,0,.,.,.,.
99,Hors Québec,341,3,336,5,0,0,319,22,.,.,.,.
999,Ensemble du Québec,342688,1043,332707,9981,10860,15,320302,11526,8565469.5,4000.81,134.15,126.79

