Arrondissement ou ville liée;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
Ahuntsic–Cartierville;2584;8,4;1924,8;359;267,4
Anjou;780;2,5;1822,6;51;119,2
Baie D'urfé;31;0,1;*810,9;< 5;n.p.
Beaconsfield;70;0,2;362,2;9;n.p.
Côte-des-Neiges–Notre-Dame-de-Grâce;2497;8,1;1499,5;261;156,7
Côte-Saint-Luc;590;1,9;1818,3;64;197,2
Dollard-des-Ormeaux;495;1,6;1012,3;83;169,7
Dorval;207;0,7;1090,6;50;263,4
Hampstead;72;0,2;1032,6;< 5;n.p.
Kirkland;142;0,5;704,7;23;*114,1
Lachine;725;2,4;1629,6;100;224,8
LaSalle;1345;4,4;1750,1;183;238,1
L'Île-Bizard–Sainte-Geneviève;228;0,7;1238,3;46;249,8
Mercier–Hochelaga-Maisonneuve;2602;8,4;1912,9;373;274,2
Montréal Est;49;0,2;1272,7;5;n.p.
Montréal-Nord;2763;9;3280,1;247;293,2
Montréal-Ouest;34;0,1;*673,3;< 5;n.p.
Mont-Royal;302;1;1489,4;77;379,8
Outremont;362;1,2;1511,2;11;*45,9
Pierrefonds–Roxboro;605;2;873,1;39;56,3
Plateau Mont-Royal;1196;3,9;1150;140;134,6
Pointe-Claire;247;0,8;787,1;41;130,7
Rivière-des-Prairies–Pointe-aux-Trembles;2349;7,6;2200,6;242;226,7
Rosemont–La Petite Patrie;1876;6,1;1343,9;239;171,2
Sainte-Anne-de-Bellevue;20;0,1;*403,4;< 5;n.p.
Saint-Laurent;1252;4,1;1266,8;120;121,4
Saint-Léonard;1297;4,2;1656,3;62;79,2
Senneville;< 5;0;n.p.;0;
Sud-Ouest;1115;3,6;1426,7;182;232,9
Verdun;1068;3,5;1542,7;159;229,7
Ville-Marie;1204;3,9;1350,2;87;97,6
Villeray–Saint-Michel–Parc-Extension;2515;8,2;1748,3;131;91,1
Westmount;211;0,7;1038,8;37;182,2
Territoire à confirmer;693;;;44;
Total à Montréal;31528;;1526,3;3476;168,3
