RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617.2,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,173,,,2,175,,,,
02 - Saguenay–Lac-Saint-Jean,123,,2,2,127,,,,
03 - Capitale-Nationale,649,4,12,52,717,,,,
04 - Mauricie et Centre-du-Québec,117,,1,41,159,,,,
05 - Estrie,99,,18,19,136,,,,
06 - Montréal,3355,138,278,443,4214,,,,
07 - Outaouais,494,16,35,38,583,,,,
08 - Abitibi-Témiscamingue,,177,,2,179,,,,
09 - Côte-Nord,11,,,2,13,,,,
10 - Nord-du-Québec,,1,,1,2,,,,
11 - Gaspésie–Îles-de-la-Madeleine,8,,,3,11,,,,
12 - Chaudière-Appalaches,569,1,11,8,589,,,,
13 - Laval,447,13,22,101,583,,,,
14 - Lanaudière,307,33,14,38,392,,,,
15 - Laurentides,510,32,55,63,660,,,,
16 - Montérégie,371,24,157,192,744,,,,
Inconnu,,1,,3,4,,,,
Hors Québec,50,10,5,65,130,,,,
Ensemble du Québec,7283,450,610,1075,9418,,,,
