Regions;Number of administered doses of the vaccine
01-   Bas-Saint-Laurent;1833
02 - Saguenay – Lac-Saint-Jean;3087
03 - Capitale-Nationale;8516
04 - Mauricie-et-Centre-du-Québec;3032
05 - Estrie;2413
06 - Montréal;21904
07 - Outaouais;2944
08 - Abitibi-Témiscamingue;1486
09 - Côte-Nord;1456
10 - Nord-du-Québec;96
11 - Gaspésie – Îles-de-la-Madeleine;2012
11 - Îles-de-la-Madeleine;301
12 - Chaudière-Appalaches;3543
13 - Laval;3263
14 - Lanaudière;3069
15 - Laurentides;3563
16 - Montérégie;10976
18 - Terres-Cries-de-la-Baie-James;808
Opitciwan;540
Wemotaci;281
Total;75123
