Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;6322
02 - Saguenay – Lac-Saint-Jean;9566
03 - Capitale-Nationale;29470
04 - Mauricie-et-Centre-du-Québec;14899
05 - Estrie;12038
06 - Montréal;79 499
07 - Outaouais;9798
08 - Abitibi-Témiscamingue;8509
09 - Côte-Nord;13864
10 - Nord-du-Québec;7119
11 - Gaspésie – Îles-de-la-Madeleine;7856
12 - Chaudière-Appalaches;11694
13 - Laval;10654
14 - Lanaudière;12403
15 - Laurentides;13567
16 - Montérégie;36335
17 - Nunavik;3370
18 - Terres-Cries-de-la-Baie-James;9595
Inconnu;1136
Total;297 694
