No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,157,8,26,0,207,1.2 %
02,02 - Saguenay-Lac-Saint-Jean,0,163,190,11,151,12,527,3.1 %
03,03 - Capitale-Nationale,7,664,455,42,500,38,1706,10.1 %
04,04 - Mauricie et Centre-du-Québec,4,158,877,23,114,5,1181,7.0 %
05,05 - Estrie,4,198,270,26,201,16,715,4.3 %
06,06 - Montréal,218,2857,1549,161,824,81,5690,33.8 %
07,07 - Outaouais,11,98,145,15,71,8,348,2.1 %
08,08 - Abitibi-Témiscamingue,3,40,60,6,19,1,129,0.8 %
09,09 - Côte-Nord,0,0,57,0,1,0,58,0.3 %
10,10 - Nord-du-Québec,0,0,6,0,0,0,6,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,16,62,0,13,0,91,0.5 %
12,12 - Chaudière-Appalaches,5,176,321,11,205,6,724,4.3 %
13,13 - Laval,6,560,309,59,224,12,1170,7.0 %
14,14 - Lanaudière,3,335,292,26,187,6,849,5.0 %
15,15 - Laurentides,64,283,347,66,123,14,897,5.3 %
16,16 - Montérégie,16,735,1002,79,642,13,2487,14.8 %
17,17 - Nunavik,0,0,11,0,0,0,11,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,18,0,0,1,19,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),344,6296,6130,533,3301,213,16817,
9999,Ensemble du Québec (%),2.0 %,37.4 %,36.5 %,3.2 %,19.6 %,1.3 %,.,100.0 %

