,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,20366,38,20327,39,169,1,19709,488,197738.33333,10299.47,246.88,85.47,62,823,0
02,02 - Saguenay-Lac-Saint-Jean,29955,36,29594,361,434,1,28957,564,278600,10751.97,202.44,155.78,63,1572,6
03,03 - Capitale-Nationale,87532,74,87171,361,1538,3,84627,1367,761103.66667,11500.67,178.32,202.07,186,4170,5
04,04 - Mauricie et Centre-du-Québec,58353,60,58113,240,997,1,56304,1052,527666.66667,11058.69,198.38,188.95,128,3116,9
05,05 - Estrie,49082,58,48558,524,612,3,47370,1100,502406,9769.39,216.54,121.81,112,2672,4
06,06 - Montréal,306313,204,302952,3361,5463,4,297809,3041,2061667.3333,14857.54,146.80,264.98,353,15880,23
07,07 - Outaouais,39421,32,38973,448,310,0,38682,429,405378.66667,9724.49,104.70,76.47,51,1801,1
08,08 - Abitibi-Témiscamingue,10747,14,10706,41,110,0,10479,158,147876.33333,7267.56,106.80,74.39,39,615,0
09,09 - Côte-Nord,8338,29,8312,26,46,0,7981,311,90082.333333,9255.98,346.83,51.06,52,480,2
10,10 - Nord-du-Québec,1464,5,1235,229,4,0,1430,30,13383.666667,10938.71,225.50,29.89,8,52,1
11,11 - Gaspésie-Îles-de-la-Madeleine,8898,13,8861,37,82,0,8649,167,90783.333333,9801.36,183.73,90.32,22,424,0
12,12 - Chaudière-Appalaches,60753,42,60470,283,650,5,59432,671,434525.66667,13981.45,153.70,149.59,98,2490,4
13,13 - Laval,70960,40,68999,1961,1102,0,69360,498,445993.33333,15910.55,110.64,247.09,94,3196,7
14,14 - Lanaudière,69217,52,68501,716,762,1,67747,708,530581,13045.51,131.84,143.62,101,2758,7
15,15 - Laurentides,78529,63,77923,606,752,2,76645,1132,640046.66667,12269.26,174.50,117.49,142,3621,11
16,16 - Montérégie,147452,130,145539,1913,2198,9,143163,2091,1452381.3333,10152.43,142.55,151.34,281,7901,15
17,17 - Nunavik,2988,0,2982,6,10,0,2954,24,14619,20439.15,161.39,68.40,1,107,1
18,18 - Terres-Cries-de-la-Baie-James,2912,8,2517,395,15,0,2863,34,18660.333333,15605.29,179.22,80.38,7,94,1
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,373,-1
99,Hors Québec,2897,2,2889,8,2,0,2870,25,.,.,.,.,4,0,0
999,Ensemble du Québec,1056177,900,1044622,11555,15256,30,1027031,13890,8613493.6667,12261.89,160.07,177.12,1804,52145,96

