RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000
01 - Bas-Saint-Laurent,0,0,0,0,0,161,81.81
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,9,3.24
03 - Capitale-Nationale,44,1,0,0,45,812,106.82
04 - Mauricie et Centre-du-Québec,4,0,0,0,4,64,12.21
05 - Estrie,12,0,0,0,12,97,19.53
06 - Montréal,727,6,1,5,739,2874,138.28
07 - Outaouais,11,0,0,0,11,423,104.58
08 - Abitibi-Témiscamingue,0,115,0,0,115,178,120.55
09 - Côte-Nord,0,0,0,0,0,0,0.00
10 - Nord-du-Québec,0,0,0,0,0,0,0.00
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,0,0.00
12 - Chaudière-Appalaches,2,0,0,0,2,248,57.42
13 - Laval,55,0,0,1,56,661,148.02
14 - Lanaudière,23,5,0,0,28,261,49.75
15 - Laurentides,70,4,1,0,75,404,63.77
16 - Montérégie,36,3,0,0,39,484,33.52
Inconnu,0,1,0,0,1,261,
Hors Québec,6,0,0,1,7,11,
Ensemble du Québec,990,135,2,7,1134,6948,80.87
