"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;23450
02 - Saguenay - Lac-Saint-Jean;35617
03 - Capitale-Nationale;102960
04 - Mauricie et Centre-du-Québec;69049
05 - Estrie;55796
06 - Montréal;430155
07 - Outaouais;45274
08 - Abitibi-Témiscamingue;20779
09 - Côte-Nord;27967
10 - Nord-du-Québec;8947
11 - Gaspésie - Îles-de-la-Madeleine;22997
12 - Chaudière-Appalaches;55880
13 - Laval;67397
14 - Lanaudière;68955
15 - Laurentides;76068
16 - Montérégie;176890
17 - Nunavik;5303
18 - Terres-Cries-de-la-Baie-James;10633
Inconnue;1723
Total;1305840
