Groupe d'âge;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
0-4 ans;429;1,4;390,6;0;
5-9 ans;394;1,3;366,2;0;
10-19 ans;1407;4,6;707,3;0;
20-29 ans;4568;14,8;1403;< 5;n.p.
30-39 ans;4158;13,5;1266,9;< 5;n.p.
40-49 ans;4217;13,7;1519,1;15;*5,4
50-59 ans;3747;12,1;1460,8;69;26,9
60-69 ans;2565;8,3;1185,7;224;103,5
70-79 ans;2479;8;1715,5;594;411
80 ans et +;6912;22,4;6871,4;2567;2551,9
Manquant;87;;;;
Total;30963;;1498,9;3476;168,3
