Arrondissement ou ville liée;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
Ahuntsic–Cartierville;2566;8,5;1911,4;359;267,4
Anjou;762;2,5;1780,5;51;119,2
Baie D'urfé;31;0,1;*810,9;< 5;n.p.
Beaconsfield;70;0,2;362,2;9;n.p.
Côte-des-Neiges–Notre-Dame-de-Grâce;2455;8,1;1474,3;261;156,7
Côte-Saint-Luc;568;1,9;1750,5;64;197,2
Dollard-des-Ormeaux;486;1,6;993,9;83;169,7
Dorval;205;0,7;1080,1;50;263,4
Hampstead;66;0,2;946,5;< 5;n.p.
Kirkland;140;0,5;694,8;23;*114,1
Lachine;720;2,4;1618,4;100;224,8
LaSalle;1327;4,4;1726,7;183;238,1
L'Île-Bizard–Sainte-Geneviève;227;0,7;1232,8;46;249,8
Mercier–Hochelaga-Maisonneuve;2564;8,5;1885;373;274,2
Montréal Est;49;0,2;1272,7;5;n.p.
Montréal-Nord;2727;9;3237,4;247;293,2
Montréal-Ouest;33;0,1;*653,5;< 5;n.p.
Mont-Royal;298;1;1469,7;77;379,8
Outremont;319;1,1;1331,7;11;*45,9
Pierrefonds–Roxboro;600;2;865,8;39;56,3
Plateau Mont-Royal;1143;3,8;1099;140;134,6
Pointe-Claire;244;0,8;777,6;41;130,7
Rivière-des-Prairies–Pointe-aux-Trembles;2318;7,7;2171,6;242;226,7
Rosemont–La Petite Patrie;1848;6,1;1323,9;239;171,2
Sainte-Anne-de-Bellevue;20;0,1;*403,4;< 5;n.p.
Saint-Laurent;1228;4,1;1242,6;120;121,4
Saint-Léonard;1269;4,2;1620,6;62;79,2
Senneville;< 5;0;n.p.;0;
Sud-Ouest;1099;3,6;1406,3;182;232,9
Verdun;1059;3,5;1529,7;159;229,7
Ville-Marie;1171;3,9;1313,2;87;97,6
Villeray–Saint-Michel–Parc-Extension;2456;8,1;1707,3;131;91,1
Westmount;208;0,7;1024;37;182,2
Territoire à confirmer;685;;;44;
Total à Montréal;30963;;1498,9;3476;168,3
