Régions sociosanitaires;2021-05-02;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;32;3 103
02 - Saguenay – Lac-Saint-Jean;8;10 315
03 - Capitale-Nationale;84;31 418
04 - Mauricie-et-Centre-du-Québec;26;14 282
05 - Estrie;47;13 385
06 - Montréal;206;126 087
07 - Outaouais;15;11 397
08 - Abitibi-Témiscamingue;0;1 098
09 - Côte-Nord;5;528
10 - Nord-du-Québec;0;94
11 - Gaspésie – Îles-de-la-Madeleine;4;1 843
12 - Chaudière-Appalaches;99;17 054
13 - Laval;88;29 943
14 - Lanaudière;35;23 148
15 - Laurentides;32;19 859
16 - Montérégie;116;48 593
17 - Nunavik;0;47
18 - Terres-Cries-de-la-Baie-James;0;119
Hors Québec;1;362
Région à déterminer;0;3
Total;798;352 678
