"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;81158
02 - Saguenay - Lac-Saint-Jean;118261
03 - Capitale-Nationale;306267
04 - Mauricie et Centre-du-Québec;200587
05 - Estrie;179782
06 - Montréal;814118
07 - Outaouais;152474
08 - Abitibi-Témiscamingue;50530
09 - Côte-Nord;45366
10 - Nord-du-Québec;10136
11 - Gaspésie - Îles-de-la-Madeleine;49536
12 - Chaudière-Appalaches;172851
13 - Laval;152277
14 - Lanaudière;180098
15 - Laurentides;221967
16 - Montérégie;490136
17 - Nunavik;9447
18 - Terres-Cries-de-la-Baie-James;18119
Inconnue;3291
Total;3256401
