RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours)
01 - Bas-Saint-Laurent,72,0,0,0,72,963,489.34,97.2
02 - Saguenay–Lac-Saint-Jean,1,0,0,0,1,402,144.93,78.7
03 - Capitale-Nationale,248,2,1,6,257,6872,904.04,96.1
04 - Mauricie et Centre-du-Québec,36,0,0,0,36,789,150.48,91.1
05 - Estrie,80,0,1,0,81,998,200.90,93.2
06 - Montréal,2220,28,18,12,2278,8883,427.38,76.6
07 - Outaouais,299,3,3,5,310,2848,704.16,92.6
08 - Abitibi-Témiscamingue,0,143,0,0,143,232,157.12,0
09 - Côte-Nord,0,0,0,0,0,76,85.04,94.7
10 - Nord-du-Québec,0,0,0,0,0,0,0.00,.
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,55,61.35,100
12 - Chaudière-Appalaches,132,0,0,0,132,2028,469.54,92.5
13 - Laval,243,7,0,5,255,2162,484.13,73.3
14 - Lanaudière,199,5,1,6,211,1101,209.86,75.4
15 - Laurentides,246,6,6,2,260,1681,265.35,81.3
16 - Montérégie,147,5,24,0,176,2611,180.85,81.8
Inconnu,0,1,0,0,1,884,,86.1
Hors Québec,15,1,0,1,17,53,,66.7
Ensemble du Québec,3938,201,54,37,4230,32638,379.87,83.9
