No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,197,8,26,0,247,1.4 %
02,02 - Saguenay-Lac-Saint-Jean,0,178,215,13,165,12,583,3.2 %
03,03 - Capitale-Nationale,9,698,533,42,518,43,1843,10.2 %
04,04 - Mauricie et Centre-du-Québec,4,158,948,23,115,5,1253,6.9 %
05,05 - Estrie,4,214,328,29,221,17,813,4.5 %
06,06 - Montréal,220,2915,1638,163,864,85,5885,32.6 %
07,07 - Outaouais,11,111,175,18,79,9,403,2.2 %
08,08 - Abitibi-Témiscamingue,3,42,70,6,20,1,142,0.8 %
09,09 - Côte-Nord,0,0,62,0,1,0,63,0.3 %
10,10 - Nord-du-Québec,0,0,8,0,0,0,8,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,16,70,0,13,0,99,0.5 %
12,12 - Chaudière-Appalaches,6,200,355,11,213,7,792,4.4 %
13,13 - Laval,6,588,358,66,244,14,1276,7.1 %
14,14 - Lanaudière,3,358,342,26,194,6,929,5.1 %
15,15 - Laurentides,64,298,415,70,140,14,1001,5.5 %
16,16 - Montérégie,16,743,1201,81,654,13,2708,15.0 %
17,17 - Nunavik,0,0,11,0,0,0,11,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,19,0,0,1,20,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),349,6532,6947,556,3467,227,18078,
9999,Ensemble du Québec (%),1.9 %,36.1 %,38.4 %,3.1 %,19.2 %,1.3 %,.,100.0 %

