,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,21060,29,21021,39,176,0,20622,262,197738.33333,10650.44,132.55,89.01,25,906,4
02,02 - Saguenay-Lac-Saint-Jean,30621,36,30260,361,448,0,29932,241,278600,10991.03,86.51,160.80,15,1627,0
03,03 - Capitale-Nationale,89316,94,88955,361,1568,0,86970,778,761103.66667,11735.06,101.49,206.02,41,4377,13
04,04 - Mauricie et Centre-du-Québec,59284,47,59044,240,1012,0,57889,383,527666.66667,11235.12,72.23,191.79,19,3210,2
05,05 - Estrie,50043,48,49519,524,626,0,49028,389,502406,9960.67,76.58,124.60,14,2792,5
06,06 - Montréal,311114,197,307755,3359,5505,14,303792,1817,2061667.3333,15090.41,87.71,267.02,92,16302,12
07,07 - Outaouais,40058,26,39613,445,318,2,39483,257,405378.66667,9881.63,62.72,78.45,14,1881,3
08,08 - Abitibi-Témiscamingue,11171,14,11130,41,113,0,10919,139,147876.33333,7554.29,93.96,76.42,7,657,3
09,09 - Côte-Nord,8911,43,8885,26,46,0,8605,260,90082.333333,9892.06,289.96,51.06,11,538,7
10,10 - Nord-du-Québec,1545,4,1312,233,4,0,1532,9,13383.666667,11543.92,67.65,29.89,6,55,0
11,11 - Gaspésie-Îles-de-la-Madeleine,9223,13,9186,37,82,0,8997,144,90783.333333,10159.35,158.42,90.32,4,452,2
12,12 - Chaudière-Appalaches,61565,32,61282,283,669,0,60586,310,434525.66667,14168.32,71.01,153.96,21,2573,6
13,13 - Laval,71918,49,69958,1960,1121,0,70423,374,445993.33333,16125.35,83.09,251.35,24,3301,8
14,14 - Lanaudière,70145,55,69429,716,778,1,69040,327,530581,13220.41,60.89,146.63,14,2844,6
15,15 - Laurentides,80129,69,79524,605,766,0,78715,648,640046.66667,12519.24,99.89,119.68,38,3812,3
16,16 - Montérégie,150490,128,148576,1914,2253,1,147082,1155,1452381.3333,10361.60,78.74,155.12,69,8282,10
17,17 - Nunavik,3028,3,3022,6,10,0,3005,13,14619,20712.77,87.42,68.40,1,111,0
18,18 - Terres-Cries-de-la-Baie-James,2972,7,2577,395,17,0,2933,22,18660.333333,15926.83,115.97,91.10,-1,101,0
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,388,-1
99,Hors Québec,2977,1,2969,8,2,0,2952,23,.,.,.,.,1,0,0
999,Ensemble du Québec,1075570,895,1064017,11553,15514,18,1052505,7551,8613493.6667,12487.04,87.02,180.11,415,54209,83

