,,Nombre de cas confirmé,,,Nombre de décès,,,,,,Nombre d'hospitalisations,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Population en 2022,Cas de COVID-19 par 100 000,Décès par COVID-19 par 100 000,Total,Différence dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée
01,01 - Bas-Saint-Laurent,26029,30,189,208,0,1,197738.33333,.,.,1421,4,25
02,02 - Saguenay-Lac-Saint-Jean,36483,47,213,527,0,0,278600,.,.,2194,4,23
03,03 - Capitale-Nationale,102807,81,513,1720,0,7,761103.66667,.,.,5852,18,75
04,04 - Mauricie et Centre-du-Québec,69363,93,575,1192,1,6,527666.66667,.,.,4694,17,143
05,05 - Estrie,59622,60,428,717,0,0,502406,.,.,3764,10,51
06,06 - Montréal,338219,240,1364,5707,2,4,2061667.3333,.,.,19317,25,228
07,07 - Outaouais,42668,9,182,350,0,1,405378.66667,.,.,2463,2,29
08,08 - Abitibi-Témiscamingue,12794,15,80,129,0,0,147876.33333,.,.,975,3,16
09,09 - Côte-Nord,11437,32,100,58,0,0,90082.333333,.,.,801,1,9
10,10 - Nord-du-Québec,1704,1,5,6,0,0,13383.666667,.,.,73,1,0
11,11 - Gaspésie-Îles-de-la-Madeleine,11729,11,65,92,0,0,90783.333333,.,.,684,2,3
12,12 - Chaudière-Appalaches,71514,50,448,735,2,8,434525.66667,.,.,3561,14,76
13,13 - Laval,77901,41,279,1175,0,5,445993.33333,.,.,4081,6,39
14,14 - Lanaudière,78532,73,431,853,0,4,530581,.,.,3777,10,73
15,15 - Laurentides,91524,77,570,903,1,0,640046.66667,.,.,5336,17,70
16,16 - Montérégie,171160,243,1137,2511,4,8,1452381.3333,.,.,11220,28,249
17,17 - Nunavik,3415,0,18,11,0,0,14619,.,.,138,0,1
18,18 - Terres-Cries-de-la-Baie-James,2778,0,6,19,0,0,18660.333333,.,.,138,0,3
98,Inconnu,1112,0,2,0,0,0,.,.,.,507,1,4
99,Hors Québec,7172,1,14,2,0,0,.,.,.,0,0,0
999,Ensemble du Québec,1217963,1104,6619,16915,10,44,8613493.6667,.,.,70996,163,1117

