RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,169,0,0,0,169,1250,635.18,"100,0","60,0"
02 - Saguenay–Lac-Saint-Jean,82,0,2,0,84,1010,364.12,"100,0","87,5"
03 - Capitale-Nationale,624,3,9,0,636,8008,"1,053.48","100,0","89,2"
04 - Mauricie et Centre-du-Québec,102,0,0,3,105,1395,266.06,"100,0","68,8"
05 - Estrie,92,0,15,1,108,2409,484.93,"96,2","92,0"
06 - Montréal,3226,123,209,21,3579,14288,687.43,"90,5","89,1"
07 - Outaouais,481,16,34,0,531,3842,949.92,"94,5","96,2"
08 - Abitibi-Témiscamingue,0,177,0,0,177,261,176.76,.,.
09 - Côte-Nord,10,0,0,0,10,150,167.85,.,.
10 - Nord-du-Québec,0,1,0,0,1,16,118.65,.,.
11 - Gaspésie–Îles-de-la-Madeleine,8,0,0,0,8,187,208.59,"66,7","75,0"
12 - Chaudière-Appalaches,478,2,11,0,491,3487,807.34,"100,0","88,9"
13 - Laval,417,13,18,1,449,3225,722.17,"95,7","93,9"
14 - Lanaudière,282,32,11,0,325,1740,331.65,"85,0","82,4"
15 - Laurentides,447,16,47,0,510,2534,399.99,"81,6","74,2"
16 - Montérégie,324,17,129,7,477,4387,303.87,"87,9","86,2"
Inconnu,0,1,0,0,1,718,,.,.
Hors Québec,47,9,3,2,61,103,,"100,0","100,0"
Ensemble du Québec,6789,410,488,35,7722,49010,570.42,"91,5","87,9"
