Régions sociosanitaires;2021-06-13;2021-06-14;2021-06-15;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;1;-1;2;3 945
02 - Saguenay – Lac-Saint-Jean;0;0;1;10 999
03 - Capitale-Nationale;7;7;9;32 720
04 - Mauricie-et-Centre-du-Québec;1;1;6;15 163
05 - Estrie;4;2;3;14 844
06 - Montréal;48;26;46;132 155
07 - Outaouais;5;12;9;12 394
08 - Abitibi-Témiscamingue;1;2;-1;1 139
09 - Côte-Nord;0;0;0;572
10 - Nord-du-Québec;0;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;2;0;1;2 053
12 - Chaudière-Appalaches;9;8;6;19 210
13 - Laval;14;4;23;31 437
14 - Lanaudière;9;17;6;23 932
15 - Laurentides;5;6;11;20 910
16 - Montérégie;14;19;30;51 163
17 - Nunavik;0;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;0;119
Hors Québec;3;2;1;456
Région à déterminer;0;0;0;3
Total;123;105;153;373 370
