Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;n.d.;75;68,3;4742;4317,1;0;;0;
5-9 ans;n.d.;57;53;6255;5814,3;0;;0;
10-19 ans;n.d.;155;77,9;14472;7275,5;0;;0;
20-29 ans;n.d.;184;56,5;22270;6840,1;0;;< 5;n.p.
30-39 ans;n.d.;137;41,7;20260;6172,8;0;;7;n.p.
40-49 ans;n.d.;105;37,8;19665;7084,1;0;;22;* 7,9
50-59 ans;n.d.;79;30,8;16164;6301,8;< 5;n.p.;102;39,8
60-69 ans;n.d.;32;* 14,8;9865;4560,1;< 5;n.p.;327;151,2
70-79 ans;n.d.;19;* 13,1;6434;4452,3;< 5;n.p.;832;575,7
80 ans et +;n.d.;13;* 12,9;11935;11864,9;< 5;n.p.;3464;3443,6
Manquant;n.d.;0;;93;;0;;0;
Total;46;856;41,4;132155;6397,7;11;* 0,5;4757;230,3
