Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;6;104;94,7;5584;5083,7;0;;0;
5-9 ans;26;301;279,8;7879;7323,9;0;;0;
10-19 ans;14;285;143,3;16761;8426,2;0;;0;
20-29 ans;17;259;79,6;25883;7949,8;0;;< 5;n.p.
30-39 ans;23;286;87,1;22962;6996,1;0;;7;n.p.
40-49 ans;23;313;112,8;21744;7833;0;;24;* 8,6
50-59 ans;13;188;73,3;17420;6791,4;< 5;n.p.;111;43,3
60-69 ans;5;108;49,9;10536;4870,2;< 5;n.p.;338;156,2
70-79 ans;< 5;62;42,9;6832;4727,8;< 5;n.p.;845;584,7
80 ans et +;< 5;39;38,8;12216;12144,2;5;n.p.;3498;3477,4
Manquant;0;0;;95;;0;;0;
Total;134;1945;94,2;147912;7160,5;11;* 0,5;4826;233,6
