RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours)
01 - Bas-Saint-Laurent,72,0,0,0,72,963,489.34,98
02 - Saguenay–Lac-Saint-Jean,1,0,1,0,2,388,139.88,75.2
03 - Capitale-Nationale,248,2,1,6,257,6817,896.80,95.7
04 - Mauricie et Centre-du-Québec,36,0,0,0,36,774,147.62,91.1
05 - Estrie,73,0,1,0,74,972,195.66,92.2
06 - Montréal,2092,22,15,11,2140,8784,422.62,76.1
07 - Outaouais,269,3,2,5,279,2834,700.69,93.4
08 - Abitibi-Témiscamingue,0,143,0,0,143,232,157.12,50
09 - Côte-Nord,0,0,0,0,0,74,82.80,94.4
10 - Nord-du-Québec,0,0,0,0,0,0,0.00,.
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,55,61.35,100
12 - Chaudière-Appalaches,131,0,0,0,131,1995,461.90,91.9
13 - Laval,239,3,0,5,247,2120,474.73,73.2
14 - Lanaudière,181,5,1,6,193,1073,204.52,75.4
15 - Laurentides,232,6,5,1,244,1620,255.72,81.5
16 - Montérégie,120,3,4,0,127,2537,175.73,79.6
Inconnu,0,1,0,0,1,879,,88.4
Hors Québec,15,1,0,1,17,53,,75
Ensemble du Québec,3709,189,30,35,3963,32170,374.42,"83,5"
