Régions sociosanitaires;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;29;48;50;58;59;42;26;3 071
02 - Saguenay – Lac-Saint-Jean;22;30;20;29;16;28;47;10 307
03 - Capitale-Nationale;110;111;116;117;109;123;87;31 334
04 - Mauricie-et-Centre-du-Québec;31;27;31;21;58;35;32;14 256
05 - Estrie;32;27;57;61;50;62;40;13 338
06 - Montréal;223;195;294;273;297;308;277;125 881
07 - Outaouais;50;57;92;55;43;70;45;11 382
08 - Abitibi-Témiscamingue;2;1;0;0;0;0;0;1 098
09 - Côte-Nord;6;15;2;4;2;6;2;523
10 - Nord-du-Québec;0;0;2;1;0;1;0;94
11 - Gaspésie – Îles-de-la-Madeleine;0;4;2;5;0;5;1;1 839
12 - Chaudière-Appalaches;82;109;128;109;117;104;117;16 955
13 - Laval;96;76;67;85;70;86;83;29 855
14 - Lanaudière;43;42;40;53;37;46;35;23 113
15 - Laurentides;36;51;55;58;54;41;59;19 827
16 - Montérégie;124;101;140;112;129;135;155;48 477
17 - Nunavik;0;0;0;0;0;1;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;0;0;0;119
Hors Québec;3;5;-2;1;0;8;0;361
Région à déterminer;0;0;0;0;0;0;0;3
Total;889;899;1 094;1 042;1 041;1 101;1 006;351 880
