"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;79815
02 - Saguenay - Lac-Saint-Jean;114463
03 - Capitale-Nationale;300530
04 - Mauricie et Centre-du-Québec;200199
05 - Estrie;177264
06 - Montréal;805721
07 - Outaouais;150294
08 - Abitibi-Témiscamingue;49020
09 - Côte-Nord;45337
10 - Nord-du-Québec;10136
11 - Gaspésie - Îles-de-la-Madeleine;49536
12 - Chaudière-Appalaches;169686
13 - Laval;149900
14 - Lanaudière;178284
15 - Laurentides;221344
16 - Montérégie;485837
17 - Nunavik;9445
18 - Terres-Cries-de-la-Baie-James;18119
Inconnue;3284
Total;3218214
