No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,8,13,4,9,0,37,0.3 %
02,02 - Saguenay-Lac-Saint-Jean,0,94,75,4,85,8,266,2.4 %
03,03 - Capitale-Nationale,3,517,192,31,319,26,1088,9.9 %
04,04 - Mauricie et Centre-du-Québec,6,151,223,21,103,5,509,4.7 %
05,05 - Estrie,3,125,66,17,110,12,333,3.0 %
06,06 - Montréal,202,2728,863,133,681,74,4681,42.8 %
07,07 - Outaouais,9,75,52,13,45,3,197,1.8 %
08,08 - Abitibi-Témiscamingue,0,0,8,0,1,0,9,0.1 %
09,09 - Côte-Nord,0,0,3,0,0,0,3,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,17,0,13,0,45,0.4 %
12,12 - Chaudière-Appalaches,5,115,83,6,111,5,325,3.0 %
13,13 - Laval,2,509,148,53,184,5,901,8.2 %
14,14 - Lanaudière,3,249,125,12,118,3,510,4.7 %
15,15 - Laurentides,64,177,111,50,81,14,497,4.5 %
16,16 - Montérégie,15,615,376,61,462,9,1538,14.1 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,2,0,0,1,3,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),315,5378,2357,405,2322,165,10942,
9999,Ensemble du Québec (%),2.9 %,49.2 %,21.5 %,3.7 %,21.2 %,1.5 %,.,100.0 %

