,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1140,14,1127,13,24,0,980,136,197074,578.46,69.01,12.18
02,02 - Saguenay–Lac-Saint-Jean,6518,78,6353,165,186,9,5655,677,277632,2347.71,243.85,67.00
03,03 - Capitale-Nationale,14774,214,14506,268,549,6,12078,2147,755459,1955.63,284.20,72.67
04,04 - Mauricie et Centre-du-Québec,8243,69,8031,212,317,3,6925,1001,522341,1578.09,191.64,60.69
05,05 - Estrie,6316,111,5980,336,107,5,5126,1083,493163,1280.71,219.60,21.70
06,06 - Montréal,59539,626,56765,2774,3731,6,50149,5659,2065657,2882.33,273.96,180.62
07,07 - Outaouais,4089,60,3793,296,96,1,3626,367,401032,1019.62,91.51,23.94
08,08 - Abitibi-Témiscamingue,304,1,271,33,4,0,287,13,147616,205.94,8.81,2.71
09,09 - Côte-Nord,245,2,232,13,3,0,211,31,90033,272.12,34.43,3.33
10,10 - Nord-du-Québec,58,0,56,2,0,0,55,3,13558,427.79,22.13,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1499,7,1480,19,42,0,1380,77,89998,1665.59,85.56,46.67
12,12 - Chaudière-Appalaches,6722,95,6478,244,158,6,5834,730,430309,1562.13,169.65,36.72
13,13 - Laval,13731,156,12472,1259,734,0,11626,1371,442745,3101.33,309.66,165.78
14,14 - Lanaudière,13164,110,12459,705,367,2,11565,1232,520092,2531.09,236.88,70.56
15,15 - Laurentides,9068,96,8470,598,346,1,8105,617,626968,1446.33,98.41,55.19
16,16 - Montérégie,23580,257,22196,1384,948,3,20389,2243,1432751,1645.78,156.55,66.17
17,17 - Nunavik,29,0,27,2,0,0,29,0,14260,203.37,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,17,0,17,0,1,0,15,1,18385,92.47,5.44,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,134,1,132,2,0,0,130,4,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,169173,1897,160848,8325,7613,42,144168,17392,8539073,1981.16,203.68,89.15
