,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,15335,53,15296,39,109,2,14509,717,197738.33333,7755.20,362.74,55.12,70
02,02 - Saguenay-Lac-Saint-Jean,24684,62,24325,359,359,0,23742,583,278600,8860.01,209.26,128.86,56
03,03 - Capitale-Nationale,74732,145,74369,363,1406,3,71856,1470,761103.66667,9818.90,191.76,184.73,188
04,04 - Mauricie et Centre-du-Québec,49202,101,48962,240,872,2,47184,1146,527666.66667,9324.45,216.11,165.26,96
05,05 - Estrie,42212,58,41687,525,542,0,41160,510,502406,8401.97,100.40,107.88,67
06,06 - Montréal,282592,154,279231,3361,5330,0,275113,2149,2061667.3333,13706.96,103.74,258.53,227
07,07 - Outaouais,35634,37,35189,445,288,0,34958,388,405378.66667,8790.30,94.69,71.04,38
08,08 - Abitibi-Témiscamingue,7846,52,7807,39,70,0,7468,308,147876.33333,5305.78,208.19,47.34,33
09,09 - Côte-Nord,5824,45,5797,27,36,1,5203,585,90082.333333,6465.20,652.41,39.96,66
10,10 - Nord-du-Québec,1085,15,886,199,4,0,1031,50,13383.666667,8106.90,375.83,29.89,2
11,11 - Gaspésie-Îles-de-la-Madeleine,5712,39,5676,36,57,0,5312,343,90783.333333,6291.90,377.35,62.79,21
12,12 - Chaudière-Appalaches,52918,103,52636,282,549,1,51250,1119,434525.66667,12178.34,256.32,126.34,114
13,13 - Laval,66234,37,64272,1962,1047,0,64752,435,445993.33333,14850.89,96.64,234.76,40
14,14 - Lanaudière,62902,59,62186,716,723,0,61583,596,530581,11855.31,110.98,136.27,70
15,15 - Laurentides,69872,74,69265,607,702,0,68221,949,640046.66667,10916.70,146.29,109.68,111
16,16 - Montérégie,130188,129,128283,1905,2034,4,126593,1561,1452381.3333,8963.76,106.42,140.05,167
17,17 - Nunavik,2729,4,2725,4,10,0,2685,34,14619,18667.49,228.63,68.40,5
18,18 - Terres-Cries-de-la-Baie-James,2292,8,2052,240,14,0,2132,146,18660.333333,12282.74,769.60,75.03,20
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,2625,4,2617,8,2,0,2602,21,.,.,.,.,5
999,Ensemble du Québec,934622,1179,923264,11358,14154,13,907358,13110,8613493.6667,10850.67,151.09,164.32,1396

