Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;< 5;58;52,8;9496;8645,1;0;;0;
5-9 ans;7;46;42,8;14755;13715,4;0;;0;
10-19 ans;10;165;83;29761;14961,7;0;;0;
20-29 ans;36;374;114,9;55476;17039,2;0;;5;n.p.
30-39 ans;25;485;147,8;49841;15185,6;0;;10;* 3
40-49 ans;34;408;147;42930;15465;0;;33;* 11,9
50-59 ans;12;267;104,1;32735;12762,2;< 5;n.p.;145;56,5
60-69 ans;11;166;76,7;18898;8735,6;< 5;n.p.;392;181,2
70-79 ans;9;107;74;10996;7609,3;< 5;n.p.;948;656
80 ans et +;13;195;193,9;17516;17413,1;5;n.p.;3797;3774,7
Manquant;-6;< 5;;188;;0;;0;
Total;154;2274;110,1;282592;13680,5;11;* 0,5;5330;258
