No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,70,5,18,0,109,0.8 %
02,02 - Saguenay-Lac-Saint-Jean,0,104,127,8,111,9,359,2.5 %
03,03 - Capitale-Nationale,5,596,316,37,418,34,1406,9.9 %
04,04 - Mauricie et Centre-du-Québec,5,157,569,22,114,5,872,6.2 %
05,05 - Estrie,3,148,196,25,156,14,542,3.8 %
06,06 - Montréal,215,2806,1302,157,771,79,5330,37.7 %
07,07 - Outaouais,11,93,105,15,61,3,288,2.0 %
08,08 - Abitibi-Témiscamingue,3,17,42,2,6,0,70,0.5 %
09,09 - Côte-Nord,0,0,35,0,1,0,36,0.3 %
10,10 - Nord-du-Québec,0,0,4,0,0,0,4,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,29,0,13,0,57,0.4 %
12,12 - Chaudière-Appalaches,5,145,220,10,163,6,549,3.9 %
13,13 - Laval,4,530,250,57,199,7,1047,7.4 %
14,14 - Lanaudière,3,312,226,21,156,5,723,5.1 %
15,15 - Laurentides,63,242,221,64,99,13,702,5.0 %
16,16 - Montérégie,16,694,692,69,553,10,2034,14.4 %
17,17 - Nunavik,0,0,10,0,0,0,10,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,13,0,0,1,14,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),336,5872,4429,492,2839,186,14154,
9999,Ensemble du Québec (%),2.4 %,41.5 %,31.3 %,3.5 %,20.1 %,1.3 %,.,100.0 %

