,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1343,9,1328,15,24,0,1181,138,196795,682.44,70.12,12.20
02,02 - Saguenay–Lac-Saint-Jean,8052,61,7872,180,226,0,7239,587,277378,2902.90,211.62,81.48
03,03 - Capitale-Nationale,18775,201,18477,298,717,10,15786,2272,760147,2469.92,298.89,94.32
04,04 - Mauricie et Centre-du-Québec,10363,99,10145,218,367,3,8676,1320,524322,1976.46,251.75,70.00
05,05 - Estrie,8524,132,8141,383,185,2,7161,1178,496770,1715.88,237.13,37.24
06,06 - Montréal,75980,790,73189,2791,3907,12,63413,8660,2078464,3655.58,416.65,187.98
07,07 - Outaouais,5017,33,4680,337,122,3,4418,477,404456,1240.43,117.94,30.16
08,08 - Abitibi-Témiscamingue,414,16,380,34,5,1,328,81,147658,280.38,54.86,3.39
09,09 - Côte-Nord,310,0,297,13,3,0,292,15,89368,346.88,16.78,3.36
10,10 - Nord-du-Québec,76,0,74,2,0,0,72,4,13485,563.59,29.66,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1648,5,1629,19,43,0,1524,81,89648,1838.30,90.35,47.97
12,12 - Chaudière-Appalaches,8861,178,8605,256,198,4,7641,1022,431910,2051.58,236.62,45.84
13,13 - Laval,17834,229,16464,1370,770,3,14942,2122,446572,3993.53,475.18,172.42
14,14 - Lanaudière,15898,174,15192,706,402,4,14052,1444,524642,3030.26,275.24,76.62
15,15 - Laurentides,11679,138,11077,602,368,3,10118,1193,633508,1843.54,188.32,58.09
16,16 - Montérégie,30357,440,28921,1436,1102,17,25555,3700,1443701,2102.72,256.29,76.33
17,17 - Nunavik,30,0,28,2,0,0,30,0,14413,208.15,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,20,0,20,0,2,0,17,1,18629,107.36,5.37,10.74
98,Inconnu,4,0,4,0,0,0,4,0,           .,         .  ,         .  ,         .  
99,Hors Québec,173,3,171,2,0,0,153,20,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,215358,2508,206694,8664,8441,62,182602,24315,8591866,2506.53,283.00,98.24
