,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,20505,17,20466,39,172,2,19989,344,197738.33333,10369.76,174.03,86.98,41,833,0
02,02 - Saguenay-Lac-Saint-Jean,30109,26,29748,361,438,1,29236,435,278600,10807.25,156.14,157.21,25,1596,5
03,03 - Capitale-Nationale,87869,69,87508,361,1545,4,85265,1059,761103.66667,11544.95,138.15,202.99,98,4215,6
04,04 - Mauricie et Centre-du-Québec,58557,36,58317,240,1001,2,56812,744,527666.66667,11097.35,140.30,189.70,64,3150,4
05,05 - Estrie,49326,41,48802,524,620,1,47872,834,502406,9817.96,164.18,123.41,60,2729,8
06,06 - Montréal,307257,122,303896,3361,5472,2,299145,2640,2061667.3333,14903.33,127.44,265.42,175,16006,19
07,07 - Outaouais,39546,34,39101,445,314,0,38887,345,405378.66667,9755.32,84.20,77.46,35,1817,3
08,08 - Abitibi-Témiscamingue,10817,14,10776,41,110,0,10587,120,147876.33333,7314.90,81.11,74.39,12,619,0
09,09 - Côte-Nord,8443,20,8417,26,46,0,8135,262,90082.333333,9372.54,292.19,51.06,20,486,1
10,10 - Nord-du-Québec,1476,1,1247,229,4,0,1461,11,13383.666667,11028.37,82.68,29.89,2,52,0
11,11 - Gaspésie-Îles-de-la-Madeleine,8943,7,8906,37,82,0,8726,135,90783.333333,9850.93,148.52,90.32,4,427,0
12,12 - Chaudière-Appalaches,60924,26,60641,283,659,0,59756,509,434525.66667,14020.81,116.59,151.66,39,2519,9
13,13 - Laval,71141,34,69181,1960,1103,0,69628,410,445993.33333,15951.14,91.09,247.31,42,3219,7
14,14 - Lanaudière,69415,29,68699,716,767,0,68119,529,530581,13082.83,98.51,144.56,38,2785,7
15,15 - Laurentides,78837,57,78231,606,755,0,77158,924,640046.66667,12317.38,142.43,117.96,74,3682,10
16,16 - Montérégie,148036,89,146123,1913,2210,2,144136,1690,1452381.3333,10192.64,115.22,152.16,131,7990,19
17,17 - Nunavik,3003,1,2997,6,10,0,2970,23,14619,20541.76,154.66,68.40,0,111,0
18,18 - Terres-Cries-de-la-Baie-James,2931,1,2533,398,16,0,2877,38,18660.333333,15707.11,200.31,85.74,3,96,1
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,374,0
99,Hors Québec,2910,2,2902,8,2,0,2888,20,.,.,.,.,3,0,0
999,Ensemble du Québec,1060045,626,1048491,11554,15326,14,1033647,11072,8613493.6667,12306.79,127.60,177.93,866,52706,99

