Régions sociosanitaires;2021-05-16;2021-05-17;2021-05-18;2021-05-19;2021-05-20;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;25;25;20;18;18;3 803
02 - Saguenay – Lac-Saint-Jean;28;8;20;35;17;10 749
03 - Capitale-Nationale;18;28;38;32;26;32 362
04 - Mauricie-et-Centre-du-Québec;25;30;27;38;30;14 935
05 - Estrie;29;43;43;53;74;14 370
06 - Montréal;189;173;162;193;267;129 866
07 - Outaouais;19;26;25;21;71;12 000
08 - Abitibi-Témiscamingue;0;0;1;1;2;1 111
09 - Côte-Nord;6;0;0;1;2;569
10 - Nord-du-Québec;0;0;0;3;1;106
11 - Gaspésie – Îles-de-la-Madeleine;3;7;11;20;17;1 995
12 - Chaudière-Appalaches;50;65;45;61;64;18 607
13 - Laval;43;52;46;44;37;30 945
14 - Lanaudière;29;15;18;26;25;23 632
15 - Laurentides;21;28;36;49;28;20 533
16 - Montérégie;63;54;92;64;69;50 238
17 - Nunavik;0;0;0;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;-1;0;0;0;119
Hors Québec;3;2;0;3;4;404
Région à déterminer;0;-6;0;0;0;3
Total;551;549;584;662;752;366 394
