"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;12118
02 - Saguenay - Lac-Saint-Jean;14236
03 - Capitale-Nationale;41964
04 - Mauricie et Centre-du-Québec;27994
05 - Estrie;21149
06 - Montréal;202286
07 - Outaouais;13306
08 - Abitibi-Témiscamingue;12097
09 - Côte-Nord;17469
10 - Nord-du-Québec;8372
11 - Gaspésie - Îles-de-la-Madeleine;10008
12 - Chaudière-Appalaches;23203
13 - Laval;31002
14 - Lanaudière;27037
15 - Laurentides;29623
16 - Montérégie;72362
17 - Nunavik;4786
18 - Terres-Cries-de-la-Baie-James;10358
Inconnue;1658
Total;581028
