Régions sociosanitaires;2021-06-20;2021-06-21;2021-06-22;2021-06-23;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;0;2;1;1;3 951
02 - Saguenay – Lac-Saint-Jean;0;2;2;1;11 009
03 - Capitale-Nationale;2;0;2;2;32 749
04 - Mauricie-et-Centre-du-Québec;1;5;2;0;15 174
05 - Estrie;1;1;1;3;14 879
06 - Montréal;36;25;44;29;132 490
07 - Outaouais;6;3;9;8;12 456
08 - Abitibi-Témiscamingue;0;0;0;0;1 145
09 - Côte-Nord;0;1;0;0;574
10 - Nord-du-Québec;0;0;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;0;1;3;1;2 061
12 - Chaudière-Appalaches;2;6;3;3;19 258
13 - Laval;13;16;16;19;31 556
14 - Lanaudière;12;7;7;5;24 000
15 - Laurentides;6;2;2;5;20 964
16 - Montérégie;10;13;33;17;51 308
17 - Nunavik;0;0;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;119
Hors Québec;1;0;2;2;465
Région à déterminer;0;0;0;0;4
Total;90;84;127;96;374 318
