No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,113,7,25,0,161,1.1 %
02,02 - Saguenay-Lac-Saint-Jean,0,119,148,10,130,12,419,2.8 %
03,03 - Capitale-Nationale,6,614,364,39,453,35,1511,10.1 %
04,04 - Mauricie et Centre-du-Québec,4,157,675,22,114,5,977,6.5 %
05,05 - Estrie,4,160,207,26,172,16,585,3.9 %
06,06 - Montréal,216,2829,1354,158,789,79,5425,36.3 %
07,07 - Outaouais,11,94,115,15,62,4,301,2.0 %
08,08 - Abitibi-Témiscamingue,3,35,47,6,16,1,108,0.7 %
09,09 - Côte-Nord,0,0,42,0,1,0,43,0.3 %
10,10 - Nord-du-Québec,0,0,4,0,0,0,4,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,16,50,0,13,0,79,0.5 %
12,12 - Chaudière-Appalaches,5,152,253,10,184,6,610,4.1 %
13,13 - Laval,5,543,273,59,206,9,1095,7.3 %
14,14 - Lanaudière,3,311,237,24,166,5,746,5.0 %
15,15 - Laurentides,63,253,236,64,100,13,729,4.9 %
16,16 - Montérégie,16,706,746,71,583,10,2132,14.3 %
17,17 - Nunavik,0,0,10,0,0,0,10,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,13,0,0,1,14,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),339,6002,4889,511,3014,196,14951,
9999,Ensemble du Québec (%),2.3 %,40.1 %,32.7 %,3.4 %,20.2 %,1.3 %,.,100.0 %

