Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;< 5;101;92;5612;5109,2;0;;0;
5-9 ans;13;283;263,1;7955;7394,5;0;;0;
10-19 ans;13;273;137,2;16828;8459,9;0;;0;
20-29 ans;6;217;66,7;25923;7962,1;0;;< 5;n.p.
30-39 ans;14;275;83,8;23035;7018,3;0;;7;n.p.
40-49 ans;14;281;101,2;21803;7854,2;0;;24;* 8,6
50-59 ans;< 5;162;63,2;17450;6803,1;< 5;n.p.;112;43,7
60-69 ans;5;103;47,6;10565;4883,7;< 5;n.p.;339;156,7
70-79 ans;5;60;41,5;6846;4737,5;< 5;n.p.;846;585,4
80 ans et +;< 5;40;39,8;12230;12158,1;5;n.p.;3500;3479,4
Manquant;0;0;;95;;0;;0;
Total;77;1795;86,9;148342;7181,3;12;* 0,6;4831;233,9
