No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,7,29,4,11,0,54,0.5 %
02,02 - Saguenay-Lac-Saint-Jean,0,94,80,4,86,8,272,2.4 %
03,03 - Capitale-Nationale,4,523,220,32,322,28,1129,9.8 %
04,04 - Mauricie et Centre-du-Québec,5,154,275,22,110,5,571,5.0 %
05,05 - Estrie,3,127,91,17,120,12,370,3.2 %
06,06 - Montréal,208,2733,974,137,707,72,4831,42.1 %
07,07 - Outaouais,11,79,62,14,53,3,222,1.9 %
08,08 - Abitibi-Témiscamingue,0,0,8,0,2,0,10,0.1 %
09,09 - Côte-Nord,0,0,4,0,1,0,5,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,20,0,13,0,48,0.4 %
12,12 - Chaudière-Appalaches,5,125,107,6,130,5,378,3.3 %
13,13 - Laval,2,510,180,53,187,5,937,8.2 %
14,14 - Lanaudière,3,250,142,12,121,3,531,4.6 %
15,15 - Laurentides,64,180,134,53,83,14,528,4.6 %
16,16 - Montérégie,15,620,412,62,467,9,1585,13.8 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,4,0,0,1,5,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,1,0,0,0,1,0.0 %
999,Ensemble du Québec (n),323,5417,2743,416,2413,165,11477,
9999,Ensemble du Québec (%),2.8 %,47.2 %,23.9 %,3.6 %,21.0 %,1.4 %,.,100.0 %

